Review_lower,Review_no_punct,Review_cleaned_basic,Review_length,Length_buckets,Rating,Total_thumbsup,Reply,Tokens,Tokens_no_stopwords,Tokens_joined,Rating_joined
spotify think that the good morning/ afternoon section is great and you will have it shown with no control from you as to what they think you want to hear. they suggest if you don't like this you should start a post. they then send out a set prompt from a moderator thanking you for the suggestion. this seems to have been going on for years. good product spoilt by arrogance from spotify.,spotify think that the good morning afternoon section is great and you will have it shown with no control from you as to what they think you want to hear they suggest if you dont like this you should start a post they then send out a set prompt from a moderator thanking you for the suggestion this seems to have been going on for years good product spoilt by arrogance from spotify,spotify think that the good morning afternoon section is great and you will have it shown with no control from you as to what they think you want to hear they suggest if you dont like this you should start a post they then send out a set prompt from a moderator thanking you for the suggestion this seems to have been going on for years good product spoilt by arrogance from spotify,73.00,50 - 99 words,5.00,0.00,,and,,spotify think that the good morning afternoon section is great and you will have it shown with no control from you as to what they think you want to hear they suggest if you dont like this you should start a post they then send out a set prompt from a moderator thanking you for the suggestion this seems to have been going on for years good product spoilt by arrogance from spotify,5.00
i have download this more than 3 to 4 times but it's not showing me any songs and if i open album it show no songs in this album and musics are not playing in my phone(samsaung j8) pleasr help to fix this or fix this through updates thankyou.,i have download this more than 3 to 4 times but its not showing me any songs and if i open album it show no songs in this album and musics are not playing in my phonesamsaung j8 pleasr help to fix this or fix this through updates thankyou,i have download this more than 3 to 4 times but its not showing me any songs and if i open album it show no songs in this album and musics are not playing in my phonesamsaung j8 pleasr help to fix this or fix this through updates thankyou,49.00,20 - 49 words,5.00,2.00,,also,also,i have download this more than 3 to 4 times but its not showing me any songs and if i open album it show no songs in this album and musics are not playing in my phonesamsaung j8 pleasr help to fix this or fix this through updates thankyou,5.00
i love this app but it can be butter with less ads,i love this app but it can be butter with less ads,i love this app but it can be butter with less ads,12.00,10 - 19 words,1.00,1.00,,6,#VALUE!,i love this app but it can be butter with less ads,1.00
only 4 because if it did not use too much network it must have been super super excellent .i recommemd it to all those who like music,only 4 because if it did not use too much network it must have been super super excellent i recommemd it to all those who like music,only 4 because if it did not use too much network it must have been super super excellent i recommemd it to all those who like music,27.00,20 - 49 words,4.00,1.00,,skip,skip,only 4 because if it did not use too much network it must have been super super excellent i recommemd it to all those who like music,4.00
"it is super annoying when you get a notification of a recommended album, you tap on it to listen and it plays one song from that album and then the very next song is from something else. example...hans zimmer top gun album/playlist notification came up. it played one song from top gun, then jumped to kung fu panda. if an album or playlist is recommended and selected, then it should at least play only songs on that list first, then transition to other related material. going back to pandora!",it is super annoying when you get a notification of a recommended album you tap on it to listen and it plays one song from that album and then the very next song is from something else examplehans zimmer top gun albumplaylist notification came up it played one song from top gun then jumped to kung fu panda if an album or playlist is recommended and selected then it should at least play only songs on that list first then transition to other related material going back to pandora,it is super annoying when you get a notification of a recommended album you tap on it to listen and it plays one song from that album and then the very next song is from something else examplehans zimmer top gun albumplaylist notification came up it played one song from top gun then jumped to kung fu panda if an album or playlist is recommended and selected then it should at least play only songs on that list first then transition to other related material going back to pandora,89.00,50 - 99 words,4.00,2.00,,per,per,it is super annoying when you get a notification of a recommended album you tap on it to listen and it plays one song from that album and then the very next song is from something else examplehans zimmer top gun albumplaylist notification came up it played one song from top gun then jumped to kung fu panda if an album or playlist is recommended and selected then it should at least play only songs on that list first then transition to other related material going back to pandora,4.00
fantastic application. i find almost everything i like in here. priced very fairly. discovery options and daily mixes are really good at showing you new music.,fantastic application i find almost everything i like in here priced very fairly discovery options and daily mixes are really good at showing you new music,fantastic application i find almost everything i like in here priced very fairly discovery options and daily mixes are really good at showing you new music,26.00,20 - 49 words,5.00,1.00,,hour,hour,fantastic application i find almost everything i like in here priced very fairly discovery options and daily mixes are really good at showing you new music,5.00
the app is not working properly . dwonloaded songs were shown in llibarary but not play and now dwonloaded songs column is not shown on my library . me also buy the premium for dwonload song worst app i have ever used,the app is not working properly  dwonloaded songs were shown in llibarary but not play and now dwonloaded songs column is not shown on my library  me also buy the premium for dwonload song worst app i have ever used,the app is not working properly  dwonloaded songs were shown in llibarary but not play and now dwonloaded songs column is not shown on my library  me also buy the premium for dwonload song worst app i have ever used,40.00,20 - 49 words,1.00,0.00,,seriously,seriously,the app is not working properly  dwonloaded songs were shown in llibarary but not play and now dwonloaded songs column is not shown on my library  me also buy the premium for dwonload song worst app i have ever used,1.00
"hi spotify. this is a great global musical thing as well. i give you 4 stars. because, there are many songs here. i can find out any song. but there is a small problem. that's, there is a small lag there. so please solved that. i think.... thank you.",hi spotify this is a great global musical thing as well i give you 4 stars because there are many songs here i can find out any song but there is a small problem thats there is a small lag there so please solved that i think thank you,hi spotify this is a great global musical thing as well i give you 4 stars because there are many songs here i can find out any song but there is a small problem thats there is a small lag there so please solved that i think thank you,49.00,20 - 49 words,5.00,0.00,,come,come,hi spotify this is a great global musical thing as well i give you 4 stars because there are many songs here i can find out any song but there is a small problem thats there is a small lag there so please solved that i think thank you,5.00
"the latest update is causing the app to randomly pause on its own and cause the now playing bar with play/pause to disappear. transitioning from phone audio to bluetooth, android auto, or chromecast frequently cause audio to stop working. a song will be playing, but you won't be able to hear it. when using android auto and streaming music, anytime a phone call comes in it causes the audio to not return once the phone call is done. i have to unplug my phone and plug it back in to get it to work.",the latest update is causing the app to randomly pause on its own and cause the now playing bar with playpause to disappear transitioning from phone audio to bluetooth android auto or chromecast frequently cause audio to stop working a song will be playing but you wont be able to hear it when using android auto and streaming music anytime a phone call comes in it causes the audio to not return once the phone call is done i have to unplug my phone and plug it back in to get it to work,the latest update is causing the app to randomly pause on its own and cause the now playing bar with playpause to disappear transitioning from phone audio to bluetooth android auto or chromecast frequently cause audio to stop working a song will be playing but you wont be able to hear it when using android auto and streaming music anytime a phone call comes in it causes the audio to not return once the phone call is done i have to unplug my phone and plug it back in to get it to work,94.00,50 - 99 words,2.00,2.00,,on,,the latest update is causing the app to randomly pause on its own and cause the now playing bar with playpause to disappear transitioning from phone audio to bluetooth android auto or chromecast frequently cause audio to stop working a song will be playing but you wont be able to hear it when using android auto and streaming music anytime a phone call comes in it causes the audio to not return once the phone call is done i have to unplug my phone and plug it back in to get it to work,2.00
phone gets disconnected from my chromecast during playing but continues on chromecast or app stops casting.,phone gets disconnected from my chromecast during playing but continues on chromecast or app stops casting,phone gets disconnected from my chromecast during playing but continues on chromecast or app stops casting,16.00,10 - 19 words,5.00,0.00,,this,this,phone gets disconnected from my chromecast during playing but continues on chromecast or app stops casting,5.00
"china style censorship, need more free speech platforms like rumble. alex jones was correct so you banned him and others. banned.video for real information. stand with freedom or lose.",china style censorship need more free speech platforms like rumble alex jones was correct so you banned him and others bannedvideo for real information stand with freedom or lose,china style censorship need more free speech platforms like rumble alex jones was correct so you banned him and others bannedvideo for real information stand with freedom or lose,29.00,20 - 49 words,1.00,11.00,,song,song,china style censorship need more free speech platforms like rumble alex jones was correct so you banned him and others bannedvideo for real information stand with freedom or lose,1.00
"spotify changed my whole world after my son told me about it years ago. what? they have full albums? they have albums from the 70's?? tears were shed as i would have a musical memory, do a quick search, and bam! the best of bread, twin sons of different mothers, rumours --it doesn't get any better than this. totally worth it people.💗💗💗",spotify changed my whole world after my son told me about it years ago what they have full albums they have albums from the 70s tears were shed as i would have a musical memory do a quick search and bam the best of bread twin sons of different mothers rumours it doesnt get any better than this totally worth it people,spotify changed my whole world after my son told me about it years ago what they have full albums they have albums from the 70s tears were shed as i would have a musical memory do a quick search and bam the best of bread twin sons of different mothers rumours it doesnt get any better than this totally worth it people,62.00,50 - 99 words,5.00,0.00,,app,app,spotify changed my whole world after my son told me about it years ago what they have full albums they have albums from the 70s tears were shed as i would have a musical memory do a quick search and bam the best of bread twin sons of different mothers rumours it doesnt get any better than this totally worth it people,5.00
2022-02f-07th can we please do away with the function suggestion when opening? i go to spotify knowing what i want to do and being stopped from getting there by the shortest possible route is teeing me off. i'm not saying that the suggestions are useless. i am saying that having them on the opening screen is not the right place for them.,202202f07th can we please do away with the function suggestion when opening i go to spotify knowing what i want to do and being stopped from getting there by the shortest possible route is teeing me off im not saying that the suggestions are useless i am saying that having them on the opening screen is not the right place for them,202202f07th can we please do away with the function suggestion when opening i go to spotify knowing what i want to do and being stopped from getting there by the shortest possible route is teeing me off im not saying that the suggestions are useless i am saying that having them on the opening screen is not the right place for them,62.00,50 - 99 words,5.00,0.00,,is,,202202f07th can we please do away with the function suggestion when opening i go to spotify knowing what i want to do and being stopped from getting there by the shortest possible route is teeing me off im not saying that the suggestions are useless i am saying that having them on the opening screen is not the right place for them,5.00
no problems whatsoever!!! love it... thank you,no problems whatsoever love it thank you,no problems whatsoever love it thank you,7.00,<10 words,5.00,1.00,,very,very,no problems whatsoever love it thank you,5.00
"ui is difficult to use, and often reports it is offline so it cannot search for music.",ui is difficult to use and often reports it is offline so it cannot search for music,ui is difficult to use and often reports it is offline so it cannot search for music,17.00,10 - 19 words,5.00,0.00,,usefull,usefull,ui is difficult to use and often reports it is offline so it cannot search for music,5.00
"can someone on spotify's end fix this i can't play my playlist or any podcasts that i want to listen to every time i tried to play a songs it automatically crashes, will edit my rating once this is fixed. thank you",can someone on spotifys end fix this i cant play my playlist or any podcasts that i want to listen to every time i tried to play a songs it automatically crashes will edit my rating once this is fixed thank you,can someone on spotifys end fix this i cant play my playlist or any podcasts that i want to listen to every time i tried to play a songs it automatically crashes will edit my rating once this is fixed thank you,42.00,20 - 49 words,1.00,1.00,,app,app,can someone on spotifys end fix this i cant play my playlist or any podcasts that i want to listen to every time i tried to play a songs it automatically crashes will edit my rating once this is fixed thank you,1.00
best app for all your music needs just pay your bill and enjoy all that that the best music app has to offer,best app for all your music needs just pay your bill and enjoy all that that the best music app has to offer,best app for all your music needs just pay your bill and enjoy all that that the best music app has to offer,23.00,20 - 49 words,1.00,0.00,,and,,best app for all your music needs just pay your bill and enjoy all that that the best music app has to offer,1.00
by far the best platform for video & audio podcast. i'm a student so i only pay $6 a month and it's worth every penny!,by far the best platform for video  audio podcast im a student so i only pay 6 a month and its worth every penny,by far the best platform for video  audio podcast im a student so i only pay 6 a month and its worth every penny,24.00,20 - 49 words,1.00,5.00,,i,i,by far the best platform for video  audio podcast im a student so i only pay 6 a month and its worth every penny,1.00
"basic control issues with the most recent update. when you play anything after searching there is not track box pop up at the bottom of the screen so there is no control over play, pause or skip. this is obviously a serious usability problem when you have to shut down the app to stop it playing. please sort this out asap.",basic control issues with the most recent update when you play anything after searching there is not track box pop up at the bottom of the screen so there is no control over play pause or skip this is obviously a serious usability problem when you have to shut down the app to stop it playing please sort this out asap,basic control issues with the most recent update when you play anything after searching there is not track box pop up at the bottom of the screen so there is no control over play pause or skip this is obviously a serious usability problem when you have to shut down the app to stop it playing please sort this out asap,61.00,50 - 99 words,2.00,1.00,,listen,listen,basic control issues with the most recent update when you play anything after searching there is not track box pop up at the bottom of the screen so there is no control over play pause or skip this is obviously a serious usability problem when you have to shut down the app to stop it playing please sort this out asap,2.00
"frequently pauses, often the pause button disappears and occasionally crashes.",frequently pauses often the pause button disappears and occasionally crashes,frequently pauses often the pause button disappears and occasionally crashes,10.00,10 - 19 words,1.00,1.00,,all,all,frequently pauses often the pause button disappears and occasionally crashes,1.00
"never take their offer. they wont stop charging you! its because anyone on your network can click on premium and your paying. no way to stop this, have to delete spotify and never use it again. only option. you will have to cancel your bank card. they will ask for pictures of your bank account to prove it. dont trust these criminals at all with your bank info.",never take their offer they wont stop charging you its because anyone on your network can click on premium and your paying no way to stop this have to delete spotify and never use it again only option you will have to cancel your bank card they will ask for pictures of your bank account to prove it dont trust these criminals at all with your bank info,never take their offer they wont stop charging you its because anyone on your network can click on premium and your paying no way to stop this have to delete spotify and never use it again only option you will have to cancel your bank card they will ask for pictures of your bank account to prove it dont trust these criminals at all with your bank info,68.00,50 - 99 words,3.00,5.00,,the,,never take their offer they wont stop charging you its because anyone on your network can click on premium and your paying no way to stop this have to delete spotify and never use it again only option you will have to cancel your bank card they will ask for pictures of your bank account to prove it dont trust these criminals at all with your bank info,3.00
"i updated spotify, fixed permissions, cleared cache, and restarted mt phone and my podacst doesnt play. please spotify fix this",i updated spotify fixed permissions cleared cache and restarted mt phone and my podacst doesnt play please spotify fix this,i updated spotify fixed permissions cleared cache and restarted mt phone and my podacst doesnt play please spotify fix this,20.00,20 - 49 words,3.00,0.00,,songs,songs,i updated spotify fixed permissions cleared cache and restarted mt phone and my podacst doesnt play please spotify fix this,3.00
music keeps playing with no controls to stop it. very annoying and often embarassing. spotify is going the way of winamp and blockbuster.,music keeps playing with no controls to stop it very annoying and often embarassing spotify is going the way of winamp and blockbuster,music keeps playing with no controls to stop it very annoying and often embarassing spotify is going the way of winamp and blockbuster,23.00,20 - 49 words,1.00,0.00,,without,without,music keeps playing with no controls to stop it very annoying and often embarassing spotify is going the way of winamp and blockbuster,1.00
great app. so far at least couple of hours daily,great app so far at least couple of hours daily,great app so far at least couple of hours daily,10.00,10 - 19 words,2.00,1.00,,any,any,great app so far at least couple of hours daily,2.00
"i keep having to either delete the app or restart my phone to actually use the app properly, it won't show me what's playing in the app and thus i can not skip songs or even pause songs and its getting irritating, i didn't buy premium for an app that half works",i keep having to either delete the app or restart my phone to actually use the app properly it wont show me whats playing in the app and thus i can not skip songs or even pause songs and its getting irritating i didnt buy premium for an app that half works,i keep having to either delete the app or restart my phone to actually use the app properly it wont show me whats playing in the app and thus i can not skip songs or even pause songs and its getting irritating i didnt buy premium for an app that half works,52.00,50 - 99 words,5.00,1.00,,subscription,subscription,i keep having to either delete the app or restart my phone to actually use the app properly it wont show me whats playing in the app and thus i can not skip songs or even pause songs and its getting irritating i didnt buy premium for an app that half works,5.00
"amazing and easy to navigate. contains about 95% of songs you want. awesome features. however, if it could have a smarter search that would pick up on key words like google that would make it that much better.",amazing and easy to navigate contains about 95 of songs you want awesome features however if it could have a smarter search that would pick up on key words like google that would make it that much better,amazing and easy to navigate contains about 95 of songs you want awesome features however if it could have a smarter search that would pick up on key words like google that would make it that much better,38.00,20 - 49 words,5.00,1.00,,thanks,thanks,amazing and easy to navigate contains about 95 of songs you want awesome features however if it could have a smarter search that would pick up on key words like google that would make it that much better,5.00
it used to work fine but all of a sudden stopped playing any songs. whenever i try to play any music the app closes by itself. i mean what's the point of i can only browse through songs without playing,it used to work fine but all of a sudden stopped playing any songs whenever i try to play any music the app closes by itself i mean whats the point of i can only browse through songs without playing,it used to work fine but all of a sudden stopped playing any songs whenever i try to play any music the app closes by itself i mean whats the point of i can only browse through songs without playing,40.00,20 - 49 words,5.00,0.00,,spotify,spotify,it used to work fine but all of a sudden stopped playing any songs whenever i try to play any music the app closes by itself i mean whats the point of i can only browse through songs without playing,5.00
currently bugged where the app randomly crashes/pauses. also the now playing section found at the bottom is missing. fix it and i'm in love again.,currently bugged where the app randomly crashespauses also the now playing section found at the bottom is missing fix it and im in love again,currently bugged where the app randomly crashespauses also the now playing section found at the bottom is missing fix it and im in love again,25.00,20 - 49 words,2.00,96.00,,it,,currently bugged where the app randomly crashespauses also the now playing section found at the bottom is missing fix it and im in love again,2.00
it was such an amazing app. i was paying for spotify family mix until they sent us yesterday that it will be deleted sadly after this i won't be paying for spotify because it's not worth it.,it was such an amazing app i was paying for spotify family mix until they sent us yesterday that it will be deleted sadly after this i wont be paying for spotify because its not worth it,it was such an amazing app i was paying for spotify family mix until they sent us yesterday that it will be deleted sadly after this i wont be paying for spotify because its not worth it,37.00,20 - 49 words,3.00,0.00,,wont,wont,it was such an amazing app i was paying for spotify family mix until they sent us yesterday that it will be deleted sadly after this i wont be paying for spotify because its not worth it,3.00
"i listened to music in spotify every day, but i can't log in to my account now cuse i am from russia",i listened to music in spotify every day but i cant log in to my account now cuse i am from russia,i listened to music in spotify every day but i cant log in to my account now cuse i am from russia,22.00,20 - 49 words,5.00,0.00,,connect,connect,i listened to music in spotify every day but i cant log in to my account now cuse i am from russia,5.00
one of the best music and podcasts app ever! it's very simple and easy to use.,one of the best music and podcasts app ever its very simple and easy to use,one of the best music and podcasts app ever its very simple and easy to use,16.00,10 - 19 words,5.00,0.00,,at,,one of the best music and podcasts app ever its very simple and easy to use,5.00
"music, podcasts, life at ur fingertips. control from your phone, send to bluetooth, chromecast, playstation, etc.",music podcasts life at ur fingertips control from your phone send to bluetooth chromecast playstation etc,music podcasts life at ur fingertips control from your phone send to bluetooth chromecast playstation etc,16.00,10 - 19 words,5.00,0.00,,all,all,music podcasts life at ur fingertips control from your phone send to bluetooth chromecast playstation etc,5.00
please stop adding songs to my playlists i can't stand half the artists you shove down my throat. i can't even block creators from showing up. i find a small playlist specifically for a band and then every indie rock artist crams their way into it.,please stop adding songs to my playlists i cant stand half the artists you shove down my throat i cant even block creators from showing up i find a small playlist specifically for a band and then every indie rock artist crams their way into it,please stop adding songs to my playlists i cant stand half the artists you shove down my throat i cant even block creators from showing up i find a small playlist specifically for a band and then every indie rock artist crams their way into it,46.00,20 - 49 words,5.00,0.00,,it,,please stop adding songs to my playlists i cant stand half the artists you shove down my throat i cant even block creators from showing up i find a small playlist specifically for a band and then every indie rock artist crams their way into it,5.00
got the tunes i love and sends great recomendations,got the tunes i love and sends great recomendations,got the tunes i love and sends great recomendations,9.00,<10 words,1.00,0.00,,only,only,got the tunes i love and sends great recomendations,1.00
lots of music aren't there.eats up storage space like there's no tomorrow. and pointless without wi fi or internet. i'm looking forward to something better than this. lately it randomly stops playing while i'm teaching a cardio fitness class and also looses the media control bar! :(,lots of music arent thereeats up storage space like theres no tomorrow and pointless without wi fi or internet im looking forward to something better than this lately it randomly stops playing while im teaching a cardio fitness class and also looses the media control bar ,lots of music arent thereeats up storage space like theres no tomorrow and pointless without wi fi or internet im looking forward to something better than this lately it randomly stops playing while im teaching a cardio fitness class and also looses the media control bar ,46.00,20 - 49 words,3.00,0.00,,sp8ns,sp8ns,lots of music arent thereeats up storage space like theres no tomorrow and pointless without wi fi or internet im looking forward to something better than this lately it randomly stops playing while im teaching a cardio fitness class and also looses the media control bar ,3.00
good experience with the app; nice to hear all your favourite music on demand.,good experience with the app nice to hear all your favourite music on demand,good experience with the app nice to hear all your favourite music on demand,14.00,10 - 19 words,5.00,0.00,,the,,good experience with the app nice to hear all your favourite music on demand,5.00
i would give it 5 stars but it has increased the ads frequency between two songs,i would give it 5 stars but it has increased the ads frequency between two songs,i would give it 5 stars but it has increased the ads frequency between two songs,16.00,10 - 19 words,4.00,0.00,,app,app,i would give it 5 stars but it has increased the ads frequency between two songs,4.00
the constant music interruption is going to cause me to unsubscribe.,the constant music interruption is going to cause me to unsubscribe,the constant music interruption is going to cause me to unsubscribe,11.00,10 - 19 words,1.00,1.00,,after,after,the constant music interruption is going to cause me to unsubscribe,1.00
wonderful music and great variety,wonderful music and great variety,wonderful music and great variety,5.00,<10 words,1.00,0.00,,you,you,wonderful music and great variety,1.00
i really enjoy this app and all the music i love!!! i definitely recommend this app !!,i really enjoy this app and all the music i love i definitely recommend this app ,i really enjoy this app and all the music i love i definitely recommend this app ,16.00,10 - 19 words,5.00,0.00,,turn,turn,i really enjoy this app and all the music i love i definitely recommend this app ,5.00
its pretty good and they fixed the problem i put previously so its not bad. my only real gripe is the fact that spotify on pc has more freedom the spotify on phone so if they could make phone the same as pc that would be nice,its pretty good and they fixed the problem i put previously so its not bad my only real gripe is the fact that spotify on pc has more freedom the spotify on phone so if they could make phone the same as pc that would be nice,its pretty good and they fixed the problem i put previously so its not bad my only real gripe is the fact that spotify on pc has more freedom the spotify on phone so if they could make phone the same as pc that would be nice,47.00,20 - 49 words,2.00,0.00,,it,,its pretty good and they fixed the problem i put previously so its not bad my only real gripe is the fact that spotify on pc has more freedom the spotify on phone so if they could make phone the same as pc that would be nice,2.00
i have used this app for like almost a decade and it allows me to listen to my music as well as my favorite artists,i have used this app for like almost a decade and it allows me to listen to my music as well as my favorite artists,i have used this app for like almost a decade and it allows me to listen to my music as well as my favorite artists,25.00,20 - 49 words,5.00,0.00,,on,,i have used this app for like almost a decade and it allows me to listen to my music as well as my favorite artists,5.00
perfect companion during long travels.. 👍🙂,perfect companion during long travels ,perfect companion during long travels ,5.00,<10 words,1.00,0.00,,i,i,perfect companion during long travels ,1.00
best music listening experience.,best music listening experience,best music listening experience,4.00,<10 words,5.00,0.00,,love,love,best music listening experience,5.00
"even in the newest version(8.7.38.667), i still can't view the lyric",even in the newest version8738667 i still cant view the lyric,even in the newest version8738667 i still cant view the lyric,11.00,10 - 19 words,5.00,0.00,,all,all,even in the newest version8738667 i still cant view the lyric,5.00
wish it would play on my watch when my phone isn't on,wish it would play on my watch when my phone isnt on,wish it would play on my watch when my phone isnt on,12.00,10 - 19 words,5.00,0.00,,the,,wish it would play on my watch when my phone isnt on,5.00
it's great to be able to listen to a album of my choice,its great to be able to listen to a album of my choice,its great to be able to listen to a album of my choice,13.00,10 - 19 words,5.00,0.00,,music,music,its great to be able to listen to a album of my choice,5.00
app keeps crashing and wont open to play any sound since the last updatel,app keeps crashing and wont open to play any sound since the last updatel,app keeps crashing and wont open to play any sound since the last updatel,14.00,10 - 19 words,4.00,0.00,,but,but,app keeps crashing and wont open to play any sound since the last updatel,4.00
"if you had asked me a month ago, 5 stars all the way. but the new updates are infuriating with the constant crashing. so annoying when your podcast is halfway through a sentence while youre driving and it just stops.",if you had asked me a month ago 5 stars all the way but the new updates are infuriating with the constant crashing so annoying when your podcast is halfway through a sentence while youre driving and it just stops,if you had asked me a month ago 5 stars all the way but the new updates are infuriating with the constant crashing so annoying when your podcast is halfway through a sentence while youre driving and it just stops,40.00,20 - 49 words,4.00,2.00,,i,i,if you had asked me a month ago 5 stars all the way but the new updates are infuriating with the constant crashing so annoying when your podcast is halfway through a sentence while youre driving and it just stops,4.00
"why it keeps crashing now when i play a song, i already tried restarting phone and reinstalling the app, it didn't fix",why it keeps crashing now when i play a song i already tried restarting phone and reinstalling the app it didnt fix,why it keeps crashing now when i play a song i already tried restarting phone and reinstalling the app it didnt fix,22.00,20 - 49 words,2.00,0.00,,hate,hate,why it keeps crashing now when i play a song i already tried restarting phone and reinstalling the app it didnt fix,2.00
shreshth was a rider and the other way bea was a little more aggressive and the more she was the better of the bas but she has a very good relationship and she is,shreshth was a rider and the other way bea was a little more aggressive and the more she was the better of the bas but she has a very good relationship and she is,shreshth was a rider and the other way bea was a little more aggressive and the more she was the better of the bas but she has a very good relationship and she is,34.00,20 - 49 words,2.00,0.00,,podcasts,podcasts,shreshth was a rider and the other way bea was a little more aggressive and the more she was the better of the bas but she has a very good relationship and she is,2.00
enjoyed listening to songs i haven't heard in a long time.,enjoyed listening to songs i havent heard in a long time,enjoyed listening to songs i havent heard in a long time,11.00,10 - 19 words,5.00,1.00,,literally,literally,enjoyed listening to songs i havent heard in a long time,5.00
could you please bring back the feature that let you listen to a preview of a song before adding it to a playlist?!,could you please bring back the feature that let you listen to a preview of a song before adding it to a playlist,could you please bring back the feature that let you listen to a preview of a song before adding it to a playlist,23.00,20 - 49 words,3.00,0.00,,less,less,could you please bring back the feature that let you listen to a preview of a song before adding it to a playlist,3.00
"best, any song you select , whet her it's new or old , spotify gifts it to you on a platter...thanks spotify.",best any song you select  whet her its new or old  spotify gifts it to you on a platterthanks spotify,best any song you select  whet her its new or old  spotify gifts it to you on a platterthanks spotify,20.00,20 - 49 words,1.00,55.00,,than,than,best any song you select  whet her its new or old  spotify gifts it to you on a platterthanks spotify,1.00
been using spotify for a couple years now -- pretty much exclusively use it for music now. i love the offline play capability with premium- recently swapped to duos so my fiancée could have an account too.,been using spotify for a couple years now  pretty much exclusively use it for music now i love the offline play capability with premium recently swapped to duos so my fiance could have an account too,been using spotify for a couple years now  pretty much exclusively use it for music now i love the offline play capability with premium recently swapped to duos so my fiance could have an account too,36.00,20 - 49 words,5.00,0.00,,zero,zero,been using spotify for a couple years now  pretty much exclusively use it for music now i love the offline play capability with premium recently swapped to duos so my fiance could have an account too,5.00
"i love it! although i would like to be able to play individual songs, instead of only playlists, while i'm on the app on my phone.",i love it although i would like to be able to play individual songs instead of only playlists while im on the app on my phone,i love it although i would like to be able to play individual songs instead of only playlists while im on the app on my phone,26.00,20 - 49 words,5.00,0.00,,interest,interest,i love it although i would like to be able to play individual songs instead of only playlists while im on the app on my phone,5.00
to me i think this app is fantastic! i don't really see anything wrong with it. the only thing it lags just a little. other than that.. this app is amazing! i love how u can play songs when i'm on a different app. i am in loveeee!,to me i think this app is fantastic i dont really see anything wrong with it the only thing it lags just a little other than that this app is amazing i love how u can play songs when im on a different app i am in loveeee,to me i think this app is fantastic i dont really see anything wrong with it the only thing it lags just a little other than that this app is amazing i love how u can play songs when im on a different app i am in loveeee,48.00,20 - 49 words,4.00,0.00,,in,,to me i think this app is fantastic i dont really see anything wrong with it the only thing it lags just a little other than that this app is amazing i love how u can play songs when im on a different app i am in loveeee,4.00
"your app is jacked. keeps turning off my podcast to play some stupid music. just closes for no reason, loses spot. but hey the ads for me to pay for it come through no problem ha who actually pays for this? update, mid podcast, plays ad, after ad starts another podcast literally 1.5 years old. says played on the one i was halfway through..",your app is jacked keeps turning off my podcast to play some stupid music just closes for no reason loses spot but hey the ads for me to pay for it come through no problem ha who actually pays for this update mid podcast plays ad after ad starts another podcast literally 15 years old says played on the one i was halfway through,your app is jacked keeps turning off my podcast to play some stupid music just closes for no reason loses spot but hey the ads for me to pay for it come through no problem ha who actually pays for this update mid podcast plays ad after ad starts another podcast literally 15 years old says played on the one i was halfway through,64.00,50 - 99 words,2.00,0.00,,them,them,your app is jacked keeps turning off my podcast to play some stupid music just closes for no reason loses spot but hey the ads for me to pay for it come through no problem ha who actually pays for this update mid podcast plays ad after ad starts another podcast literally 15 years old says played on the one i was halfway through,2.00
"podcasts have stop working. can listen to music, but podcasts have just stopped playing.",podcasts have stop working can listen to music but podcasts have just stopped playing,podcasts have stop working can listen to music but podcasts have just stopped playing,14.00,10 - 19 words,1.00,0.00,,but,but,podcasts have stop working can listen to music but podcasts have just stopped playing,1.00
"automatically starts premium trial features without user consent. locks you out of comparing features this way until you simply lose them. then it's an annoying pandora clone with alt right mascots. yep it takes all your habits and monetizes you with it. no you can't really listen to what you want, it chooses for you. or you can pay anyone $15 a month to play whatever you want. youtube, pandora, spotify. thanks every company who wastes a trial for folks who haven't even tested why they care.",automatically starts premium trial features without user consent locks you out of comparing features this way until you simply lose them then its an annoying pandora clone with alt right mascots yep it takes all your habits and monetizes you with it no you cant really listen to what you want it chooses for you or you can pay anyone 15 a month to play whatever you want youtube pandora spotify thanks every company who wastes a trial for folks who havent even tested why they care,automatically starts premium trial features without user consent locks you out of comparing features this way until you simply lose them then its an annoying pandora clone with alt right mascots yep it takes all your habits and monetizes you with it no you cant really listen to what you want it chooses for you or you can pay anyone 15 a month to play whatever you want youtube pandora spotify thanks every company who wastes a trial for folks who havent even tested why they care,87.00,50 - 99 words,2.00,2.00,,its,its,automatically starts premium trial features without user consent locks you out of comparing features this way until you simply lose them then its an annoying pandora clone with alt right mascots yep it takes all your habits and monetizes you with it no you cant really listen to what you want it chooses for you or you can pay anyone 15 a month to play whatever you want youtube pandora spotify thanks every company who wastes a trial for folks who havent even tested why they care,2.00
why remove your alphabetical ordering system in your liked artists for an ungodly mess of an algorithm??? why insert geolocation ads into podcasts on certain artists?? spotify is certainly a good ad for its competitors,why remove your alphabetical ordering system in your liked artists for an ungodly mess of an algorithm why insert geolocation ads into podcasts on certain artists spotify is certainly a good ad for its competitors,why remove your alphabetical ordering system in your liked artists for an ungodly mess of an algorithm why insert geolocation ads into podcasts on certain artists spotify is certainly a good ad for its competitors,35.00,20 - 49 words,3.00,0.00,,always,always,why remove your alphabetical ordering system in your liked artists for an ungodly mess of an algorithm why insert geolocation ads into podcasts on certain artists spotify is certainly a good ad for its competitors,3.00
