Review_lower,Review_no_punct,Review_cleaned_basic,Review_length,Length_buckets,Rating,Total_thumbsup,Reply,Tokens,Tokens_no_stopwords,Tokens_joined,Rating_joined
i dont care that people of differing opinions have different opinions. i have used spotify for years i love it and will continue to love it as long as they keep on keeping on. i like your loyalty so you have mine,i dont care that people of differing opinions have different opinions i have used spotify for years i love it and will continue to love it as long as they keep on keeping on i like your loyalty so you have mine,i dont care that people of differing opinions have different opinions i have used spotify for years i love it and will continue to love it as long as they keep on keeping on i like your loyalty so you have mine,42.00,20 - 49 words,5.00,0.00,,premium,premium,i dont care that people of differing opinions have different opinions i have used spotify for years i love it and will continue to love it as long as they keep on keeping on i like your loyalty so you have mine,5.00
good content lots music and podcasts reliable,good content lots music and podcasts reliable,good content lots music and podcasts reliable,7.00,<10 words,5.00,0.00,,it,,good content lots music and podcasts reliable,5.00
"i love, love, love spotify! will always use it over anything else. subscribed for probably two years now and won't be canceling it anytime soon. however, recently the app doesn't always show what i'm currently listening to and crashes after a couple songs. generally a close and restart of the app fixes it, but not 100% of the time. sometimes it takes multiple restarts. it'll this several times a day. i'm up to date on updates, too. this only started about a month ago now, but i'm not sure why.",i love love love spotify will always use it over anything else subscribed for probably two years now and wont be canceling it anytime soon however recently the app doesnt always show what im currently listening to and crashes after a couple songs generally a close and restart of the app fixes it but not 100 of the time sometimes it takes multiple restarts itll this several times a day im up to date on updates too this only started about a month ago now but im not sure why,i love love love spotify will always use it over anything else subscribed for probably two years now and wont be canceling it anytime soon however recently the app doesnt always show what im currently listening to and crashes after a couple songs generally a close and restart of the app fixes it but not 100 of the time sometimes it takes multiple restarts itll this several times a day im up to date on updates too this only started about a month ago now but im not sure why,90.00,50 - 99 words,1.00,5.00,,removes,removes,i love love love spotify will always use it over anything else subscribed for probably two years now and wont be canceling it anytime soon however recently the app doesnt always show what im currently listening to and crashes after a couple songs generally a close and restart of the app fixes it but not 100 of the time sometimes it takes multiple restarts itll this several times a day im up to date on updates too this only started about a month ago now but im not sure why,1.00
awsome app love that i can get a variety of music that matches my mood,awsome app love that i can get a variety of music that matches my mood,awsome app love that i can get a variety of music that matches my mood,15.00,10 - 19 words,4.00,1.00,,music,music,awsome app love that i can get a variety of music that matches my mood,4.00
"former premium subscriber. canceled account in solidarity with neil young, joni mitchell and other artists who believe that spotify should serve music fans, not pander to an obnoxious and dangerous lunatic fringe. as a music fan, i feel betrayed by spotify. as for the app, what can i say? it's a platform for anti-science right wing propaganda. that's a deal breaker.",former premium subscriber canceled account in solidarity with neil young joni mitchell and other artists who believe that spotify should serve music fans not pander to an obnoxious and dangerous lunatic fringe as a music fan i feel betrayed by spotify as for the app what can i say its a platform for antiscience right wing propaganda thats a deal breaker,former premium subscriber canceled account in solidarity with neil young joni mitchell and other artists who believe that spotify should serve music fans not pander to an obnoxious and dangerous lunatic fringe as a music fan i feel betrayed by spotify as for the app what can i say its a platform for antiscience right wing propaganda thats a deal breaker,61.00,50 - 99 words,5.00,6.00,,for,,former premium subscriber canceled account in solidarity with neil young joni mitchell and other artists who believe that spotify should serve music fans not pander to an obnoxious and dangerous lunatic fringe as a music fan i feel betrayed by spotify as for the app what can i say its a platform for antiscience right wing propaganda thats a deal breaker,5.00
i can't access any podcasts.....im in uganda,i cant access any podcastsim in uganda,i cant access any podcastsim in uganda,7.00,<10 words,4.00,0.00,,literally,literally,i cant access any podcastsim in uganda,4.00
autoplay keeps stop working in the app. it's really annoying. do something about it.,autoplay keeps stop working in the app its really annoying do something about it,autoplay keeps stop working in the app its really annoying do something about it,14.00,10 - 19 words,1.00,0.00,,no,no,autoplay keeps stop working in the app its really annoying do something about it,1.00
queue is not accessible any more in the android app. there's not even pause/play button. it's so sad paying premium for the app breaking it's own ux with new error every month!,queue is not accessible any more in the android app theres not even pauseplay button its so sad paying premium for the app breaking its own ux with new error every month,queue is not accessible any more in the android app theres not even pauseplay button its so sad paying premium for the app breaking its own ux with new error every month,32.00,20 - 49 words,5.00,1.00,,reason,reason,queue is not accessible any more in the android app theres not even pauseplay button its so sad paying premium for the app breaking its own ux with new error every month,5.00
awesome music app easy to use recommned it to everyone,awesome music app easy to use recommned it to everyone,awesome music app easy to use recommned it to everyone,10.00,10 - 19 words,5.00,0.00,,by,by,awesome music app easy to use recommned it to everyone,5.00
"i love the way you put different playlist s together for me,i know that i'm going to always have good music to listen to, thanks for the great music.",i love the way you put different playlist s together for mei know that im going to always have good music to listen to thanks for the great music,i love the way you put different playlist s together for mei know that im going to always have good music to listen to thanks for the great music,29.00,20 - 49 words,2.00,0.00,,example,example,i love the way you put different playlist s together for mei know that im going to always have good music to listen to thanks for the great music,2.00
i love spotify especially because i have premium it's only like $10.30 and it charges every month straight to my card i love spotify,i love spotify especially because i have premium its only like 1030 and it charges every month straight to my card i love spotify,i love spotify especially because i have premium its only like 1030 and it charges every month straight to my card i love spotify,24.00,20 - 49 words,1.00,0.00,,if,if,i love spotify especially because i have premium its only like 1030 and it charges every month straight to my card i love spotify,1.00
- pauses continually every 15 min - will play in the background with no way of pausing unless the app is force stopped - multiple prompts a day for bluetooth access - occasionally won't open through widget - more bugs continually occuring in the last 3 months, pauses continually every 15 min  will play in the background with no way of pausing unless the app is force stopped  multiple prompts a day for bluetooth access  occasionally wont open through widget  more bugs continually occuring in the last 3 months, pauses continually every 15 min  will play in the background with no way of pausing unless the app is force stopped  multiple prompts a day for bluetooth access  occasionally wont open through widget  more bugs continually occuring in the last 3 months,42.00,20 - 49 words,1.00,0.00,,i,i, pauses continually every 15 min  will play in the background with no way of pausing unless the app is force stopped  multiple prompts a day for bluetooth access  occasionally wont open through widget  more bugs continually occuring in the last 3 months,1.00
"i don't know what happened, but my spotify account logged out from facebook and now i can't login nor with email, nor with facebook, nor with google. i keep getting the error messages such as ""there is no spotify account linked to facebook, or the username or password doesn't exist, or unable to get the access link right now.",i dont know what happened but my spotify account logged out from facebook and now i cant login nor with email nor with facebook nor with google i keep getting the error messages such as there is no spotify account linked to facebook or the username or password doesnt exist or unable to get the access link right now,i dont know what happened but my spotify account logged out from facebook and now i cant login nor with email nor with facebook nor with google i keep getting the error messages such as there is no spotify account linked to facebook or the username or password doesnt exist or unable to get the access link right now,59.00,50 - 99 words,1.00,0.00,,search,search,i dont know what happened but my spotify account logged out from facebook and now i cant login nor with email nor with facebook nor with google i keep getting the error messages such as there is no spotify account linked to facebook or the username or password doesnt exist or unable to get the access link right now,1.00
horrible. not worth the price. it used to be best. they now got someone developing it completely wong! it just hurts the users and that sucks for premium subscribers like me. middle finger if you will. i'm done paying for errors! it just constantly stops.. they owe me and you.. they owe us all..,horrible not worth the price it used to be best they now got someone developing it completely wong it just hurts the users and that sucks for premium subscribers like me middle finger if you will im done paying for errors it just constantly stops they owe me and you they owe us all,horrible not worth the price it used to be best they now got someone developing it completely wong it just hurts the users and that sucks for premium subscribers like me middle finger if you will im done paying for errors it just constantly stops they owe me and you they owe us all,54.00,50 - 99 words,2.00,0.00,,up,up,horrible not worth the price it used to be best they now got someone developing it completely wong it just hurts the users and that sucks for premium subscribers like me middle finger if you will im done paying for errors it just constantly stops they owe me and you they owe us all,2.00
impressive library of music best i've found on any app.,impressive library of music best ive found on any app,impressive library of music best ive found on any app,10.00,10 - 19 words,5.00,0.00,,a,,impressive library of music best ive found on any app,5.00
"i love this app been using it for years but man, if i say i don't like a song on the enhanced option why would you give it to me again after a few songs....",i love this app been using it for years but man if i say i dont like a song on the enhanced option why would you give it to me again after a few songs,i love this app been using it for years but man if i say i dont like a song on the enhanced option why would you give it to me again after a few songs,35.00,20 - 49 words,1.00,0.00,,popular,popular,i love this app been using it for years but man if i say i dont like a song on the enhanced option why would you give it to me again after a few songs,1.00
great variety of songs and podcasts.,great variety of songs and podcasts,great variety of songs and podcasts,6.00,<10 words,3.00,0.00,,song,song,great variety of songs and podcasts,3.00
some artist's music is not there.,some artists music is not there,some artists music is not there,6.00,<10 words,4.00,1.00,,its,its,some artists music is not there,4.00
great music app. love that you can download music for offline playing. 🥰,great music app love that you can download music for offline playing ,great music app love that you can download music for offline playing ,12.00,10 - 19 words,5.00,1.00,,going,going,great music app love that you can download music for offline playing ,5.00
new update is terrible. cant get to controls of the music/podcast that's playing.,new update is terrible cant get to controls of the musicpodcast thats playing,new update is terrible cant get to controls of the musicpodcast thats playing,13.00,10 - 19 words,1.00,0.00,,to,,new update is terrible cant get to controls of the musicpodcast thats playing,1.00
love the variety and so easy to use!,love the variety and so easy to use,love the variety and so easy to use,8.00,<10 words,2.00,3.00,,show,show,love the variety and so easy to use,2.00
pls make group session can joinable from discord.. not link.. like. idk. but like desktop,pls make group session can joinable from discord not link like idk but like desktop,pls make group session can joinable from discord not link like idk but like desktop,15.00,10 - 19 words,4.00,0.00,,it,,pls make group session can joinable from discord not link like idk but like desktop,4.00
"update scuffed group play. my friends and i used to do group sessions at our parties and listen on the same set of speakers, now it doesn't work. kind of a bummer.",update scuffed group play my friends and i used to do group sessions at our parties and listen on the same set of speakers now it doesnt work kind of a bummer,update scuffed group play my friends and i used to do group sessions at our parties and listen on the same set of speakers now it doesnt work kind of a bummer,32.00,20 - 49 words,5.00,2.00,,and,,update scuffed group play my friends and i used to do group sessions at our parties and listen on the same set of speakers now it doesnt work kind of a bummer,5.00
awesome but we can set any song as caller tune 😂,awesome but we can set any song as caller tune ,awesome but we can set any song as caller tune ,10.00,10 - 19 words,5.00,3.00,,i,i,awesome but we can set any song as caller tune ,5.00
"the one song i want to hear cannot play😭 even the album is no longer available 😭can you please bring it back😭it's tuks senganga- monopoly album. the song name is joko ya hao by tuks, lesego, madok. please!!!!",the one song i want to hear cannot play even the album is no longer available can you please bring it backits tuks senganga monopoly album the song name is joko ya hao by tuks lesego madok please,the one song i want to hear cannot play even the album is no longer available can you please bring it backits tuks senganga monopoly album the song name is joko ya hao by tuks lesego madok please,38.00,20 - 49 words,5.00,0.00,,would,would,the one song i want to hear cannot play even the album is no longer available can you please bring it backits tuks senganga monopoly album the song name is joko ya hao by tuks lesego madok please,5.00
why can't i download a specific song without the need to download a whole playlist and i want to be able to shuffle all my songs not that i have to keep moving from playlist to playlist u guys really need to update alot of features on ur app and if am playing a song online and i want to start it from beginning or go to the previous song it becomes unresponsive,why cant i download a specific song without the need to download a whole playlist and i want to be able to shuffle all my songs not that i have to keep moving from playlist to playlist u guys really need to update alot of features on ur app and if am playing a song online and i want to start it from beginning or go to the previous song it becomes unresponsive,why cant i download a specific song without the need to download a whole playlist and i want to be able to shuffle all my songs not that i have to keep moving from playlist to playlist u guys really need to update alot of features on ur app and if am playing a song online and i want to start it from beginning or go to the previous song it becomes unresponsive,73.00,50 - 99 words,4.00,0.00,,be,be,why cant i download a specific song without the need to download a whole playlist and i want to be able to shuffle all my songs not that i have to keep moving from playlist to playlist u guys really need to update alot of features on ur app and if am playing a song online and i want to start it from beginning or go to the previous song it becomes unresponsive,4.00
amazing app just wish we could go download the song is without fear premium,amazing app just wish we could go download the song is without fear premium,amazing app just wish we could go download the song is without fear premium,14.00,10 - 19 words,4.00,0.00,,able,able,amazing app just wish we could go download the song is without fear premium,4.00
love that my favorite music and songs are at the touch of my fingers but the last few days it just stops playing and i really don't like not having my music i am always on the go and music is a very big part of my life and til this started i was very pleased with this app now not sure!!!!,love that my favorite music and songs are at the touch of my fingers but the last few days it just stops playing and i really dont like not having my music i am always on the go and music is a very big part of my life and til this started i was very pleased with this app now not sure,love that my favorite music and songs are at the touch of my fingers but the last few days it just stops playing and i really dont like not having my music i am always on the go and music is a very big part of my life and til this started i was very pleased with this app now not sure,62.00,50 - 99 words,2.00,2.00,,to,,love that my favorite music and songs are at the touch of my fingers but the last few days it just stops playing and i really dont like not having my music i am always on the go and music is a very big part of my life and til this started i was very pleased with this app now not sure,2.00
good sounds relaxing and a good stress reliever,good sounds relaxing and a good stress reliever,good sounds relaxing and a good stress reliever,8.00,<10 words,5.00,0.00,,listen,listen,good sounds relaxing and a good stress reliever,5.00
i have premium but i play one song in my liled songs or any playlist then it will start playing songs from other playlist and its truly bs,i have premium but i play one song in my liled songs or any playlist then it will start playing songs from other playlist and its truly bs,i have premium but i play one song in my liled songs or any playlist then it will start playing songs from other playlist and its truly bs,28.00,20 - 49 words,2.00,0.00,,to,,i have premium but i play one song in my liled songs or any playlist then it will start playing songs from other playlist and its truly bs,2.00
very bed exercise.no any song play without add useless app,very bed exerciseno any song play without add useless app,very bed exerciseno any song play without add useless app,10.00,10 - 19 words,2.00,0.00,,it,,very bed exerciseno any song play without add useless app,2.00
"great fun, i use it mainly for podcasts and there are no ads. harder to use it for music on the free version.",great fun i use it mainly for podcasts and there are no ads harder to use it for music on the free version,great fun i use it mainly for podcasts and there are no ads harder to use it for music on the free version,23.00,20 - 49 words,2.00,0.00,,but,but,great fun i use it mainly for podcasts and there are no ads harder to use it for music on the free version,2.00
